title,company,location,work_type,level,compensation,link,id,scraped_date
Lead Software Engineer - AI/ML,Boeing,,,,,https://builtin.com/job/lead-software-engineer-ai-ml/8146837,8146837,2026-02-27
AI/ML Sr. Engineer,Cargill,,,,,https://builtin.com/job/ai-ml-sr-engineer/8363908,8363908,2026-02-27
AI/ML Engineer,Cargill,,,,,https://builtin.com/job/ai-ml-engineer/8363901,8363901,2026-02-27
"Software Engineer(Elastic Search or any enterprise observability tools Prometheus/Grafana Cloud/On prem Observability Azure/AWS/GCP advanced concepts Kubernetes, Linux and Docker DevOps advanced Agentic AI fundamentals)",Motorola Solutions,,,,,https://builtin.com/job/software-engineer/7703138,7703138,2026-02-27
"Senior Software Engineer, AI",FloQast,,,,,https://builtin.com/job/senior-software-engineer-ai/7203041,7203041,2026-02-27
Lead Software Engineer - Predictive AI,Wells Fargo,,,,,https://builtin.com/job/lead-software-engineer/8409634,8409634,2026-02-27
Principal Engineer - Predictive AI,Wells Fargo,,,,,https://builtin.com/job/principal-engineer/8409584,8409584,2026-02-27
Senior Softwae Engineer (Java/Go with AI),Uniphore,,,,,https://builtin.com/job/senior-softwae-engineer-java-go-ai/8344074,8344074,2026-02-27
Software Engineer (Java/Go with AI),Uniphore,,,,,https://builtin.com/job/software-engineer-java-go-ai/8344086,8344086,2026-02-27
Principal Software Engineer (Java/Go with AI),Uniphore,,,,,https://builtin.com/job/principal-software-engineer-java-go-ai/8344085,8344085,2026-02-27
Staff Software Engineer (Java/Go with AI),Uniphore,,,,,https://builtin.com/job/staff-software-engineer-java-go-ai/8344087,8344087,2026-02-27
Staff Machine Learning Engineer (Agentic AI/Gen AI),Zscaler,,,,,https://builtin.com/job/staff-machine-learning-engineer/8057267,8057267,2026-02-27
Senior AI/ML Engineer,LogicMonitor,,,,,https://builtin.com/job/senior-ai-ml-engineer/8435451,8435451,2026-02-27
"Senior Software Engineer, AI",LogicMonitor,,,,,https://builtin.com/job/senior-software-engineer-ai/8435453,8435453,2026-02-27
"Sr. UI Engineer, AI",LogicMonitor,,,,,https://builtin.com/job/sr-ui-engineer-ai/8435452,8435452,2026-02-27
AI/ML Engineer,LogicMonitor,,,,,https://builtin.com/job/ai-ml-engineer/8435449,8435449,2026-02-27
